SN,Catalog,Image,Product,ProductDetail,Description,Price
1,game,game1.jpg,PS4 Pro-1TB,《極致黑》雙手把遊戲主機,■全新CUH-7200系列;■硬體容量為1TB;■支援 4K 超高解析度■PS4 遊戲均以1080p 解像度呈現;■支援已發售及將會發售的所有PS4遊戲;■透過提升系統架構包括CPU 及GPU 的性能及表現，令遊戲呈現更細緻流暢的畫面。;■給預算有限卻想享受3A大作的你,15980
2,game,game2.jpg,PlayStation 5,遊戲主機光碟版&nbsp現貨不多要買要快,■ 速度疾如閃電;■ 備有客製化 CPU、GPU、SSD以及綜合I/O系統，以強大性能改寫PlayStation主機的極限;■ 精彩絕倫的遊戲，令人驚嘆的身歷其境;■ 驚嘆於難以置信的視覺效果，同時體驗 PS5 的新功能。;■ 支援觸覺回饋、自適應觸發器和 3D 音訊技術，讓玩家發掘更深刻的遊戲體驗。;■ 可以向下相容PS4數位版遊戲，遊戲效能提升，更快更流暢,15980
3,game,game3.jpg,PlayStation 5,遊戲主機光碟版&nbsp現貨不多要買要快,■ 速度疾如閃電;■ 備有客製化 CPU、GPU、SSD以及綜合I/O系統，以強大性能改寫PlayStation主機的極限;■ 精彩絕倫的遊戲，令人驚嘆的身歷其境;■ 驚嘆於難以置信的視覺效果，同時體驗 PS5 的新功能。;■ 支援觸覺回饋、自適應觸發器和 3D 音訊技術，讓玩家發掘更深刻的遊戲體驗。;■ 可以向下相容PS4數位版遊戲，遊戲效能提升，更快更流暢,18000
4,game,game4.jpg,任天堂 Nintendo Switch Lite,台灣專用機 (藍綠) 台灣公司貨,■ 體積小、輕巧、方便攜帶外出遊玩;■ 一體化設計，體積縮小78%、重量縮減70%;■ 不提供連接電視的功能，僅對應「手提模式」，省略了動感IR照相機與HD震動功能;■ 可與Nintendo Switch互相連線，最多可連繫8台主機;■ 左側控制器的按鈕替換為十字鍵;■ 支援Nintendo Switch Online (※付費，台灣地區暫未支援),6180
5,game,game5.jpg,任天堂 Nintendo Switch Lite,台灣專用機 (黃色) 台灣公司貨,■ 體積小、輕巧、方便攜帶外出遊玩;■ 一體化設計，體積縮小78%、重量縮減70%;■ 不提供連接電視的功能，僅對應「手提模式」，省略了動感IR照相機與HD震動功能;■ 可與Nintendo Switch互相連線，最多可連繫8台主機;■ 左側控制器的按鈕替換為十字鍵;■ 支援Nintendo Switch Online (※付費，台灣地區暫未支援),6180
6,game,game6.jpg,任天堂 Nintendo Switch Lite ,台灣專用機 (灰色) 台灣公司貨,■ 體積小、輕巧、方便攜帶外出遊玩;■ 一體化設計，體積縮小78%、重量縮減70%;■ 不提供連接電視的功能，僅對應「手提模式」，省略了動感IR照相機與HD震動功能;■ 可與Nintendo Switch互相連線，最多可連繫8台主機;■ 左側控制器的按鈕替換為十字鍵;■ 支援Nintendo Switch Online (※付費，台灣地區暫未支援),6180
7,game,game7.jpg,任天堂 Nintendo Switch,新型台灣專用機 (電光藍/紅) 台灣公司貨,■ NS新型號主機-電池持續時間加長!!!;■ 最多連線8台，與親朋好友協力對戰;■ 多種操控模式及玩法，樂享家中大螢幕或外攜都適合;■ Joy-Con內置「HD震動」體驗逼真細膩臨場感;■ 支援Nintendo Switch Online (※付費，台灣地區暫未支援);■ 支援繁體中文介面，台灣公司貨，提供1年保固。,9780
8,game,game8.jpg,任天堂 Nintendo Switch,新型台灣專用機 (灰色) 台灣公司貨,■ NS新型號主機-電池持續時間加長!!!;■ 最多連線8台，與親朋好友協力對戰;■ 多種操控模式及玩法，樂享家中大螢幕或外攜都適合;■ Joy-Con內置「HD震動」體驗逼真細膩臨場感;■ 支援Nintendo Switch Online (※付費，台灣地區暫未支援);■ 支援繁體中文介面，台灣公司貨，提供1年保固。,9780
9,game,game9.jpg,Xbox Combo,Xbox Series X 主機+ Xbox Game Pass Ultimate 3個月 + 無線控制器(冰雪白),■ 重新設計硬體和軟體，為遊戲帶來新的可能性;■ 專為速度和效能而設計，解鎖前所未見的生動世界;■ 支援的新功能「快速恢復」，多遊戲之間輕鬆快速地繼續遊戲;■ 自訂設計採用 AMD 最新Zen 2和RDNA 2架構，12 Teraflop 能力;■ 4K遊戲與 8K 支援，120 FPS■ 1TB自訂 SSD;■最新次世代主機，現貨不多要買要快,17990
10,game,game10.jpg,Xbox Series S 主機, (無光碟機版本),■ 重新設計硬體和軟體，為遊戲帶來新的可能性;■ 專為速度和效能而設計，解鎖前所未見的生動世界;■ 支援的新功能「快速恢復」，多遊戲之間輕鬆快速地繼續遊戲;■ 自訂設計採用 AMD 最新Zen 2和RDNA 2架構，4 Teraflop 能力;■ 1440p，120 FPS■ 512GB自訂 SSD;■最新次世代主機，給預算有限卻想享受3A大作的你,9480
